Membership_Id,Check_In_Date,Check_In_Time,Check_Out_Time
"NL318","2018-02-12 00:00:00,000","329","365"
"NL318","2017-08-11 00:00:00,000","469","920"
"NL318","2018-04-29 00:00:00,000","506","554"
"NL318","2018-01-28 00:00:00,000","124","759"
"NL318","2017-10-27 00:00:00,000","418","1019"
"NL318","2017-10-18 00:00:00,000","608","1074"
"NL318","2017-11-27 00:00:00,000","850","954"
"NL318","2017-06-27 00:00:00,000","591","715"
"NL318","2018-01-14 00:00:00,000","777","813"
"NL318","2017-11-07 00:00:00,000","148","460"
"NL318","2017-04-20 00:00:00,000","647","1113"
"NL318","2018-01-10 00:00:00,000","476","498"
"NL318","2017-12-06 00:00:00,000","892","1197"
"NL318","2018-02-20 00:00:00,000","272","1118"
"NL318","2017-05-27 00:00:00,000","851","1111"
"NL318","2017-06-25 00:00:00,000","201","542"
"NL318","2017-03-24 00:00:00,000","236","1043"
"NL318","2018-02-24 00:00:00,000","262","438"
"NL318","2017-05-07 00:00:00,000","645","1047"
"NL318","2018-02-16 00:00:00,000","86","649"
"NL318","2017-01-20 00:00:00,000","1015","1104"
"NL318","2017-02-20 00:00:00,000","367","567"
"NL318","2017-04-17 00:00:00,000","366","649"
"NL318","2017-08-20 00:00:00,000","237","1110"
"NL318","2017-01-21 00:00:00,000","476","648"
"NL318","2018-01-16 00:00:00,000","374","1130"
"AOE21","2018-04-14 00:00:00,000","1034","1087"
"AOE21","2017-02-20 00:00:00,000","932","1181"
"AOE21","2017-08-02 00:00:00,000","1027","1055"
"AOE21","2017-11-06 00:00:00,000","968","1043"
"AOE21","2018-01-12 00:00:00,000","492","867"
"AOE21","2017-11-03 00:00:00,000","647","758"
"AOE21","2017-05-30 00:00:00,000","734","1118"
"AOE21","2017-07-26 00:00:00,000","721","1093"
"2PN28","2017-01-22 00:00:00,000","866","944"
"2PN28","2017-12-29 00:00:00,000","499","815"
"2PN28","2017-08-23 00:00:00,000","21","652"
"2PN28","2017-07-18 00:00:00,000","211","570"
"2PN28","2017-04-14 00:00:00,000","697","936"
"2PN28","2017-03-09 00:00:00,000","109","181"
"2PN28","2017-11-21 00:00:00,000","970","1153"
"2PN28","2017-06-15 00:00:00,000","652","1167"
"0YJ24","2017-05-01 00:00:00,000","485","838"
"0YJ24","2017-06-14 00:00:00,000","671","760"
"0YJ24","2018-04-25 00:00:00,000","1084","1094"
"0YJ24","2017-08-24 00:00:00,000","130","508"
"0YJ24","2018-04-22 00:00:00,000","1074","1133"
"0YJ24","2017-02-10 00:00:00,000","390","536"
"0YJ24","2018-04-26 00:00:00,000","1079","1106"
"0YJ24","2017-08-06 00:00:00,000","1157","1200"
"0YJ24","2018-03-13 00:00:00,000","1068","1102"
"0YJ24","2018-03-31 00:00:00,000","838","894"
"0YJ24","2017-07-26 00:00:00,000","362","610"
"0YJ24","2018-03-29 00:00:00,000","910","929"
"0YJ24","2017-10-07 00:00:00,000","617","964"
"3A08L","2017-09-17 00:00:00,000","189","299"
"3A08L","2018-03-10 00:00:00,000","1071","1099"
"3A08L","2017-05-24 00:00:00,000","248","1196"
"6W6I2","2018-02-02 00:00:00,000","774","952"
